Marque;reporting+70;Trage;SEGMENT_MODOP;PVFP;CAYVP;NBSTIONS;NBVERSEURS;CAHVP;CAYVPUC;collecte;presta;PM actu;;;;;;;;
MMA Agents;1;+80ans;GP;88464,95;12662330,20;48515,00;892,00;12513184,24;517376,45;13660069,30;10334094,40;92770307,00;;;;;;;;
MMA Agents;1;+80ans;PC;454440,32;49055577,80;20654,00;603,00;49042121,80;2513895,53;50266868,90;41957563,40;358298237,00;;;;;;;;
MMA Agents;1;+80ans;PP;5494,50;983894,24;962,00;26,00;980221,60;31120,00;1010300,03;592488,47;5631955,08;;;;;;;;
MMA Agents;0;0-30ans;GP;261955,62;7797338,62;36202,00;2234,00;7460292,54;1431637,54;11005976,00;572871,43;158700236,00;;;;;;;;
MMA Agents;0;0-30ans;PC;921692,18;14089488,60;4739,00;615,00;14001671,42;3406906,50;14631707,00;214858,34;293846607,00;;;;;;;;
MMA Agents;0;0-30ans;PP;8177,50;399456,86;815,00;95,00;354884,42;124091,84;571468,10;2799,28;5442188,32;;;;;;;;
MMA Agents;0;30-40ans;GP;486326,45;7938757,10;30309,00;1412,00;7549270,40;2105173,37;14373128,20;1916368,41;191858304,00;;;;;;;;
MMA Agents;0;30-40ans;PC;858730,12;11968448,70;1505,00;239,00;11901954,90;3844073,90;12420528,10;689986,37;249869152,00;;;;;;;;
MMA Agents;0;30-40ans;PP;33539,61;554779,52;287,00;64,00;504740,71;167815,15;864412,60;45406,64;15121352,00;;;;;;;;
MMA Agents;1;40-50ans;GP;904036,35;13059994,80;51814,00;2379,00;12345805,00;2832853,90;22063979,20;4186689,93;347045558,00;;;;;;;;
MMA Agents;1;40-50ans;PC;1856072,60;25950100,00;4489,00;784,00;25763550,00;7743272,90;27215536,10;4420807,64;584367223,00;;;;;;;;
MMA Agents;1;40-50ans;PP;110202,86;1655285,92;1089,00;220,00;1550428,64;733489,21;2255295,02;319900,76;41937358,90;;;;;;;;
MMA Agents;0;50-60ans;GP;1204291,70;23798110,00;73818,00;3452,00;22659750,00;4257205,70;33018595,10;10684595,90;553434689,00;;;;;;;;
MMA Agents;0;50-60ans;PC;3908578,83;63569679,00;12424,00;1813,00;63128300,00;15578357,00;66630485,10;25173049,80;1384968773,00;;;;;;;;
MMA Agents;0;50-60ans;PP;123666,44;3172906,50;1942,00;283,00;3066630,85;792035,69;3725909,31;830947,47;56296697,10;;;;;;;;
MMA Agents;0;60-70ans;GP;1137562,92;39730438,00;79810,00;2905,00;38952551,00;4676153,60;44863643,80;20224106,30;652500145,00;;;;;;;;
MMA Agents;0;60-70ans;PC;4686971,02;106806464,00;20191,00;2004,00;106511511,00;24400129,00;108689955,00;57429573,60;1837319792,00;;;;;;;;
MMA Agents;0;60-70ans;PP;67941,47;2561263,20;1825,00;163,00;2518208,00;533200,02;2817946,60;873881,88;34542231,80;;;;;;;;
MMA Agents;1;70-75ans;GP;223801,83;10937787,00;40217,00;946,00;10669409,00;1345861,40;12775039,50;7041606,25;153002499,00;;;;;;;;
MMA Agents;1;70-75ans;PC;1122629,79;34652902,00;12698,00;612,00;34600477,00;7437842,00;35809709,50;23183505,60;492867329,00;;;;;;;;
MMA Agents;1;70-75ans;PP;9003,43;526258,53;841,00;45,00;524218,13;108111,91;540724,36;169789,22;4953299,02;;;;;;;;
MMA Agents;1;75-80ans;GP;82955,52;6382374,10;24654,00;579,00;6193093,00;539438,40;6351186,28;3990428,82;63988609,90;;;;;;;;
MMA Agents;1;75-80ans;PC;325202,75;16847160,00;8801,00;316,00;16835876,00;2503994,80;14891484,40;10601520,80;170676512,00;;;;;;;;
MMA Agents;1;75-80ans;PP;6026,59;434667,45;459,00;18,00;430975,63;86848,33;424217,40;178279,41;3496113,20;;;;;;;;
MMA Banque;1;+80ans;PC;10578,53;819396,66;6277,00;41,00;815908,86;0,00;860767,61;761826,28;5965970,21;;;;;;;;
MMA Banque;0;0-30ans;PC;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Banque;0;30-40ans;PC;0,00;0,00;68,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Banque;1;40-50ans;PC;0,00;0,00;163,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Banque;0;50-60ans;PC;4721,56;99301,90;1566,00;8,00;98648,28;0,00;103940,80;51326,55;2650570,06;;;;;;;;
MMA Banque;0;60-70ans;PC;1089,38;19994,41;2989,00;17,00;16002,51;76,64;46961,70;33228,10;764337,66;;;;;;;;
MMA Banque;1;70-75ans;GP;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Banque;1;70-75ans;PC;8042,56;344099,05;2107,00;14,00;343514,07;0,00;359701,85;285629,03;5146730,77;;;;;;;;
MMA Banque;1;75-80ans;PC;22,47;83806,50;1730,00;25,00;83741,10;0,00;43292,59;34072,60;538083,31;;;;;;;;
MMA CAP;1;+80ans;GP;3908,76;62416,97;3278,00;8,00;11835,64;269,10;256589,26;140285,89;1045532,67;;;;;;;;
MMA CAP;1;+80ans;PC;-61944,68;12648417,20;11137,00;415,00;12591498,73;1008082,28;13417353,10;10539174,80;94029040,40;;;;;;;;
MMA CAP;0;0-30ans;GP;7256,89;35861,50;4009,00;60,00;32235,46;4068,52;168533,12;38203,55;900013,23;;;;;;;;
MMA CAP;0;0-30ans;PC;507705,02;6295203,39;8269,00;811,00;6095940,71;2430482,61;7498381,01;125346,79;142443510,00;;;;;;;;
MMA CAP;0;30-40ans;GP;21278,58;14732,91;3254,00;28,00;11955,23;1873,01;361462,93;112167,70;555074,46;;;;;;;;
MMA CAP;0;30-40ans;PC;492859,98;5641439,40;3890,00;415,00;5531701,90;2483211,74;6343166,02;354440,73;125378216,00;;;;;;;;
MMA CAP;1;40-50ans;GP;48620,52;88682,19;8176,00;132,00;32208,67;9889,50;1070455,96;285561,86;7304676,67;;;;;;;;
MMA CAP;1;40-50ans;PC;1104078,94;10296543,60;10771,00;1451,00;9971892,10;5111521,20;12436058,10;2077461,44;268067175,00;;;;;;;;
MMA CAP;0;50-60ans;GP;75966,77;460859,79;14113,00;174,00;52599,09;6319,05;3237413,91;937283,09;36578471,00;;;;;;;;
MMA CAP;0;50-60ans;PC;2665675,52;30172594,00;25402,00;3326,00;29521216,00;14506726,20;34415380,20;12480337,60;702185365,00;;;;;;;;
MMA CAP;0;60-70ans;GP;55908,14;473280,77;9387,00;65,00;93296,59;1154,83;2646811,11;968743,57;20963938,80;;;;;;;;
MMA CAP;0;60-70ans;PC;2647491,53;41885671,00;22650,00;2117,00;41399280,00;19622433,00;44943683,20;23652340,90;762203509,00;;;;;;;;
MMA CAP;1;70-75ans;GP;23936,62;236657,02;4086,00;15,00;22670,49;10707,95;1353025,42;579482,31;8842915,39;;;;;;;;
MMA CAP;1;70-75ans;PC;540638,87;13084966,00;9327,00;581,00;12980002,00;6115269,30;14230960,20;8949117,69;196992405,00;;;;;;;;
MMA CAP;1;75-80ans;GP;15975,91;225057,68;2557,00;7,00;27826,38;15892,55;908355,46;418537,01;4972070,24;;;;;;;;
MMA CAP;1;75-80ans;PC;134480,37;7243365,00;5663,00;359,00;7171154,00;3046219,90;6511370,58;4629844,17;73094004,70;;;;;;;;
MMA Courtage;1;+80ans;GP;10667,57;612936,78;2053,00;5,00;606609,00;0,00;669303,47;516346,71;4666089,09;;;;;;;;
MMA Courtage;1;+80ans;PC;124693,64;31869475,40;12000,00;428,00;31826203,70;4622412,37;32845017,30;24869924,30;207622465,00;;;;;;;;
MMA Courtage;1;+80ans;PP;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Courtage;0;0-30ans;GP;674,52;0,10;8,00;0,00;0,00;0,00;20850,31;6942,95;9,09;;;;;;;;
MMA Courtage;0;0-30ans;PC;2357331,25;72774875,80;6377,00;889,00;72423749,83;18160965,90;74505835,10;449348,20;1340730894,00;;;;;;;;
MMA Courtage;0;30-40ans;GP;10885,88;0,10;8,00;0,00;0,00;0,00;283963,01;94559,49;9,01;;;;;;;;
MMA Courtage;0;30-40ans;PC;854562,09;21817943,00;7843,00;1331,00;21075645,00;9892173,20;25251436,10;799308,76;345014067,00;;;;;;;;
MMA Courtage;1;40-50ans;GP;15890,38;97,71;50,00;0,00;0,00;0,00;388124,90;129162,62;13147,34;;;;;;;;
MMA Courtage;1;40-50ans;PC;1934043,50;42899843,00;17036,00;2143,00;41947953,00;20869008,00;48225540,20;4511803,16;723044895,00;;;;;;;;
MMA Courtage;0;50-60ans;GP;9407,09;3651,82;182,00;0,00;0,00;0,00;302507,66;101705,63;402162,22;;;;;;;;
MMA Courtage;0;50-60ans;PC;3656852,07;87307752,00;28629,00;2991,00;86217564,00;40522604,00;93575474,40;21211595,00;1433014382,00;;;;;;;;
MMA Courtage;0;50-60ans;PP;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Courtage;0;60-70ans;GP;12616,95;277703,70;212,00;2,00;275000,00;18750,00;341913,25;181355,07;4303196,37;;;;;;;;
MMA Courtage;0;60-70ans;PC;4434601,86;132473205,00;25785,00;2296,00;131746357,00;47219128,00;136526027,00;56829855,60;1974813180,00;;;;;;;;
MMA Courtage;1;70-75ans;GP;116,78;2212,62;142,00;0,00;0,00;0,00;14653,72;8834,85;132420,07;;;;;;;;
MMA Courtage;1;70-75ans;PC;979109,69;35159177,00;10175,00;546,00;35050914,00;13804343,00;36948326,40;20793692,80;459459067,00;;;;;;;;
MMA Courtage;1;70-75ans;PP;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Courtage;1;75-80ans;GP;1440,27;90334,50;175,00;2,00;90000,00;0,00;54731,81;35784,02;572530,74;;;;;;;;
MMA Courtage;1;75-80ans;PC;512026,30;22880094,00;6244,00;263,00;22818803,00;10723850,00;21161094,60;13220690,20;224843088,00;;;;;;;;
MMA Courtage;1;75-80ans;PP;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MAAF;1;+80ans;Ex PC;6963,17;1150209,19;2026,00;49,00;1140934,12;2668,00;1202149,26;734734,14;8299827,91;;;;;;;;
MAAF;1;+80ans;GP;33854,72;4104686,52;16589,00;504,00;3958524,07;93314,12;4859822,73;3618578,64;40441282,80;;;;;;;;
MAAF;1;+80ans;PC;362423,05;38885743,70;16619,00;726,00;38828550,30;949459,51;39176281,00;34549533,30;365159672,00;;;;;;;;
MAAF;1;+80ans;PP;1810,78;234085,27;300,00;9,00;232321,17;1799,20;243854,60;176504,88;2096751,83;;;;;;;;
MAAF;0;0-30ans;Ex PC;12400,28;245292,42;1140,00;59,00;222748,42;42120,28;410438,78;5840,79;4292970,37;;;;;;;;
MAAF;0;0-30ans;GP;288089,25;9533068,33;38896,00;3226,00;8396682,94;1001177,19;17722003,00;247660,66;288208341,00;;;;;;;;
MAAF;0;0-30ans;PC;634584,77;8089292,94;7715,00;737,00;7990722,39;1915919,12;8816574,98;186325,22;200118129,00;;;;;;;;
MAAF;0;0-30ans;PP;60755,12;1480015,90;6803,00;485,00;1315715,20;311541,62;2689533,20;34008,32;38066932,70;;;;;;;;
MAAF;0;30-40ans;Ex PC;10461,70;590862,49;997,00;44,00;575024,00;45974,23;698080,98;16450,61;6055586,63;;;;;;;;
MAAF;0;30-40ans;GP;430193,29;6711334,39;51979,00;2081,00;5171552,90;1161784,26;17026705,00;936615,21;258053626,00;;;;;;;;
MAAF;0;30-40ans;PC;771824,73;9652058,76;3527,00;394,00;9547289,67;2694494,30;10399653,00;625081,53;213813227,00;;;;;;;;
MAAF;0;30-40ans;PP;143700,95;1585842,35;3785,00;306,00;1307958,18;402577,71;3610593,99;232715,38;59371431,90;;;;;;;;
MAAF;1;40-50ans;Ex PC;11403,15;389805,71;1059,00;34,00;370849,65;49872,64;528611,02;36849,12;5526571,50;;;;;;;;
MAAF;1;40-50ans;GP;746029,70;11251657,90;79670,00;2819,00;9208696,49;1620997,44;25303676,00;3262835,15;396727936,00;;;;;;;;
MAAF;1;40-50ans;PC;2027544,36;21505685,10;7704,00;873,00;21156888,71;6794313,18;24033680,90;3982377,66;522242238,00;;;;;;;;
MAAF;1;40-50ans;PP;390350,44;4068722,61;11397,00;793,00;3345817,10;1017561,67;9318032,98;1390261,76;152354297,00;;;;;;;;
MAAF;0;50-60ans;Ex PC;21268,57;727303,28;1573,00;54,00;686100,79;43298,00;1022407,28;147255,82;11119196,60;;;;;;;;
MAAF;0;50-60ans;GP;1093964,30;16335312,60;87206,00;3721,00;13705396,85;2564725,27;35240849,00;9903498,97;561504312,00;;;;;;;;
MAAF;0;50-60ans;PC;5735887,19;62552412,70;18344,00;2339,00;61755600,54;20636803,30;68601025,80;25306380,20;1501662005,00;;;;;;;;
MAAF;0;50-60ans;PP;587549,53;7788442,26;16505,00;1188,00;6895698,93;1963813,26;14426657,00;4230369,75;235668722,00;;;;;;;;
MAAF;0;60-70ans;Ex PC;35266,19;751313,68;2130,00;67,00;724553,00;228030,15;949029,40;296921,18;11147797,90;;;;;;;;
MAAF;0;60-70ans;GP;665779,01;17406787,80;65580,00;2993,00;16072540,56;2238019,09;26790137,00;11321371,30;391225182,00;;;;;;;;
MAAF;0;60-70ans;NC;1537103,94;0,00;4,00;0,00;0,00;0,00;22970475,10;4314370,74;0,00;;;;;;;;
MAAF;0;60-70ans;PC;7806481,80;110014557,00;31308,00;3213,00;109444257,30;36891128,60;114259992,00;65981935,30;2166622806,00;;;;;;;;
MAAF;0;60-70ans;PP;406224,45;8792257,05;15969,00;1075,00;8400169,22;2493206,38;11602436,00;4659186,62;164336369,00;;;;;;;;
MAAF;1;70-75ans;Ex PC;2390,22;154261,23;1076,00;20,00;147601,63;6440,00;198771,68;73010,61;1800692,50;;;;;;;;
MAAF;1;70-75ans;GP;217547,28;7785451,76;22801,00;896,00;7438254,05;1056208,03;10131734,30;5928827,49;135910875,00;;;;;;;;
MAAF;1;70-75ans;PC;2251431,93;46039877,20;18804,00;1280,00;45889014,19;13629447,40;47101424,40;33379199,90;751472184,00;;;;;;;;
MAAF;1;70-75ans;PP;103045,52;3734478,93;7350,00;379,00;3619718,22;715520,04;4523554,74;2365254,00;56782897,30;;;;;;;;
MAAF;1;75-80ans;Ex PC;6590,76;598547,57;760,00;17,00;593562,73;10000,00;629344,88;370298,99;6630290,89;;;;;;;;
MAAF;1;75-80ans;GP;47939,51;2780117,42;12095,00;381,00;2618073,19;243689,45;3795865,00;2427932,44;41468189,80;;;;;;;;
MAAF;1;75-80ans;PC;571414,48;18700439,60;10659,00;485,00;18647179,36;3788317,69;19055858,40;14903608,00;254602309,00;;;;;;;;
MAAF;1;75-80ans;PP;20437,98;968851,26;3155,00;120,00;937455,24;155896,38;1161638,65;701156,35;12563797,80;;;;;;;;
MAAF;0;0-30ans;NC;270250,89;0,00;0,00;0,00;0,00;0,00;3764162,02;1030251,10;0,00;;;;;;;;
MAAF;0;30-40ans;NC;392757,38;0,00;0,00;0,00;0,00;0,00;5462517,02;1495090,84;0,00;;;;;;;;
