Marque;Segment;SEGMENT_MODOP;PVFP;collecte;;;;;;;;;;;;
MMA Agents;EURO;GP;2454035,515;122935678,3;;;;;;;;;;;;
MMA Agents;EURO;PC;6781613,775;260216296,4;;;;;;;;;;;;
MMA Agents;EURO;PP;172951,6341;8908871,547;;;;;;;;;;;;
MMA Agents;UC;GP;1375334,323;21553082,52;;;;;;;;;;;;
MMA Agents;UC;PC;7352703,839;70339977,71;;;;;;;;;;;;
MMA Agents;UC;PP;191100,7584;3301401,88;;;;;;;;;;;;
MMA Agents;Prevoyance;GP;560025,5066;13622856,54;;;;;;;;;;;;
MMA Banque;EURO;PC;24402,72028;1414026,23;;;;;;;;;;;;
MMA Banque;EURO;GP;0;0;;;;;;;;;;;;
MMA Banque;UC;PC;51,77978564;638,3152525;;;;;;;;;;;;
MMA CAP;EURO;GP;120425,7167;7977608,796;;;;;;;;;;;;
MMA CAP;EURO;PC;1019291,382;78367726,98;;;;;;;;;;;;
MMA CAP;UC;GP;798,2300399;76296,60673;;;;;;;;;;;;
MMA CAP;UC;PC;7011694,162;61428625,39;;;;;;;;;;;;
MMA CAP;Prevoyance;GP;131628,2447;1948741,771;;;;;;;;;;;;
MMA Courtage;EURO;GP;22349,36767;1038287,862;;;;;;;;;;;;
MMA Courtage;EURO;PC;5924309,879;292364125,9;;;;;;;;;;;;
MMA Courtage;EURO;PP;0;0;;;;;;;;;;;;
MMA Courtage;UC;PC;8928910,524;176674625,5;;;;;;;;;;;;
MMA Courtage;UC;GP;989,2631786;18750,00016;;;;;;;;;;;;
MMA Courtage;UC;PP;0;0;;;;;;;;;;;;
MMA Courtage;Prevoyance;GP;38360,79693;1019010,271;;;;;;;;;;;;
MAAF;EURO;Ex PC;52883,94416;5069242,999;;;;;;;;;;;;
MAAF;EURO;GP;1988220,209;122744763;;;;;;;;;;;;
MAAF;EURO;PC;5430081,198;239544240;;;;;;;;;;;;
MAAF;EURO;PP;693512,0746;36730232,99;;;;;;;;;;;;
MAAF;EURO;NC;0;0;;;;;;;;;;;;
MAAF;UC;Ex PC;53860,08419;569590,265;;;;;;;;;;;;
MAAF;UC;GP;1535176,849;18126028,84;;;;;;;;;;;;
MAAF;UC;PC;14731511,11;91900250,2;;;;;;;;;;;;
MAAF;UC;PP;1020362,69;10846068,11;;;;;;;;;;;;
MAAF;Prevoyance;NC;3138037,274;45162068,2;;;;;;;;;;;;
GMF;EURO;GP;5589873,29;276570780,7;;;;;;;;;;;;
GMF;EURO;PC;11961410,08;473475581;;;;;;;;;;;;
GMF;EURO;PP;1814867,734;86065804,86;;;;;;;;;;;;
GMF;UC;GP;2143627,687;19988259,17;;;;;;;;;;;;
GMF;UC;PC;9868745,058;65246875,57;;;;;;;;;;;;
GMF;UC;PP;1247866,283;11635547,73;;;;;;;;;;;;
GMF;Prevoyance;NC;1784735,769;28746448,38;;;;;;;;;;;;
DAV;EURO;GP;10174904,1;531267118,6;;;;;;;;;;;;
DAV;EURO;PC;31141109,04;1345381997;;;;;;;;;;;;
DAV;EURO;PP;2681331,443;131704909,4;;;;;;;;;;;;
DAV;UC;GP;5055926,352;59762417,14;;;;;;;;;;;;
DAV;UC;PC;47893616,47;465590992,7;;;;;;;;;;;;
DAV;UC;PP;2459329,732;25783017,72;;;;;;;;;;;;
DAV;Prevoyance;GP;730014,5482;16590608,58;;;;;;;;;;;;
DAV;EURO;Ex PC;52883,94416;5069242,999;;;;;;;;;;;;
DAV;EURO;NC;0;0;;;;;;;;;;;;
DAV;UC;Ex PC;53860,08419;569590,265;;;;;;;;;;;;
DAV;Prevoyance;NC;4922773,043;73908516,57;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
